"No.","Time","Source","Destination","Protocol","Length","Info"
"3000","529.282302","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3001","529.282308","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3002","529.282396","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3003","529.282431","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3004","529.285289","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3005","529.285303","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3006","529.288235","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3007","529.289236","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3008","529.289303","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3009","529.291280","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3010","529.291304","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3011","529.291311","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3012","529.291426","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3013","529.291481","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3014","529.294264","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3015","529.297281","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3016","529.297424","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3017","529.297493","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3018","529.299283","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3019","529.299442","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3020","529.300227","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3021","529.300241","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3022","529.300261","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3023","529.300268","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3024","529.303293","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3025","529.306232","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3026","529.306393","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3027","529.306421","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3028","529.309257","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3029","529.309322","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3030","529.309365","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3031","529.309419","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3032","529.309533","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3033","529.312292","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3034","529.312448","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3035","529.312515","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3036","529.315227","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3037","529.315240","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3038","529.318249","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3039","529.318267","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3040","529.318274","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3041","529.318292","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3042","529.318316","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3043","529.321238","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3044","529.321338","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3045","529.321366","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3046","529.324239","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3047","529.327229","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3048","529.327271","1.1.3","host","USB","228","URB_ISOCHRONOUS in"
"3049","529.327314","host","1.1.3","USB","147","URB_ISOCHRONOUS in"
"3050","529.327365","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3051","529.327387","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3052","529.329287","1.2.3","host","USB","2079","URB_ISOCHRONOUS in"
"3053","529.329375","host","1.2.3","USB","159","URB_ISOCHRONOUS in"
"3054","529.330226","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
"3055","529.330239","host","1.1.3","USB","102","URB_ISOCHRONOUS out"
"3056","529.333224","1.1.3","host","USB","75","URB_ISOCHRONOUS out"
