"No.","Time","Source","Destination","Protocol","Length","Info"
"3812","123.035057","host","1.2.1","USB","27","URB_INTERRUPT in"
"3813","123.166934","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3814","123.167032","host","1.2.1","USB","27","URB_INTERRUPT in"
"3815","123.236156","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3816","123.236260","host","1.2.1","USB","27","URB_INTERRUPT in"
"3817","123.309894","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3818","123.309999","host","1.2.1","USB","27","URB_INTERRUPT in"
"3819","123.384891","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3820","123.385071","host","1.2.1","USB","27","URB_INTERRUPT in"
"3821","123.403976","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3822","123.404156","host","1.2.1","USB","27","URB_INTERRUPT in"
"3823","123.406935","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3824","123.407077","host","1.2.1","USB","27","URB_INTERRUPT in"
"3825","123.454982","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3826","123.455160","host","1.2.1","USB","27","URB_INTERRUPT in"
"3827","123.492919","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3828","123.493149","host","1.2.1","USB","27","URB_INTERRUPT in"
"3829","123.564955","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3830","123.565131","host","1.2.1","USB","27","URB_INTERRUPT in"
"3831","123.724925","controller","host","HCI_EVT","45","Rcvd LE Meta (LE Advertising Report)"
"3832","123.725011","host","1.2.1","USB","27","URB_INTERRUPT in"
"3833","123.832220","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3834","123.832328","host","1.2.1","USB","27","URB_INTERRUPT in"
"3835","123.873136","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3836","123.873237","host","1.2.1","USB","27","URB_INTERRUPT in"
