"No.","Time","Source","Destination","Protocol","Length","Info"
"3541","107.225980","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3542","107.226124","host","1.2.1","USB","27","URB_INTERRUPT in"
"3543","107.287982","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3544","107.288092","host","1.2.1","USB","27","URB_INTERRUPT in"
"3545","107.500195","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3546","107.500312","host","1.2.1","USB","27","URB_INTERRUPT in"
"3547","108.215641","remote ()","localhost ()","L2CAP","48","Rcvd Connection oriented channel"
"3548","108.215807","host","1.2.2","USB","27","URB_BULK in"
"3549","108.215997","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3550","108.216118","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3551","108.216205","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3552","108.216297","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3553","108.216407","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3554","108.216498","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3555","108.216577","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3556","108.216661","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3557","108.217084","1.2.2","host","USB","27","URB_BULK out"
"3558","108.218139","1.2.2","host","USB","27","URB_BULK out"
"3559","108.219192","1.2.2","host","USB","27","URB_BULK out"
"3560","108.220239","1.2.2","host","USB","27","URB_BULK out"
"3561","108.221297","1.2.2","host","USB","27","URB_BULK out"
"3562","108.222564","1.2.2","host","USB","27","URB_BULK out"
"3563","108.222893","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3564","108.222932","host","1.2.1","USB","27","URB_INTERRUPT in"
"3565","108.223610","1.2.2","host","USB","27","URB_BULK out"
"3566","108.224670","1.2.2","host","USB","27","URB_BULK out"
"3567","108.326215","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3568","108.326312","host","1.2.1","USB","27","URB_INTERRUPT in"
"3569","108.328971","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3570","108.329072","host","1.2.1","USB","27","URB_INTERRUPT in"
"3571","108.332962","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3572","108.333061","host","1.2.1","USB","27","URB_INTERRUPT in"
"3573","108.363129","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3574","108.363226","host","1.2.1","USB","27","URB_INTERRUPT in"
"3575","108.417956","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3576","108.418049","host","1.2.1","USB","27","URB_INTERRUPT in"
"3577","108.421922","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3578","108.422026","host","1.2.1","USB","27","URB_INTERRUPT in"
"3579","108.425951","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3580","108.426026","host","1.2.1","USB","27","URB_INTERRUPT in"
"3581","108.429001","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3582","108.429124","host","1.2.1","USB","27","URB_INTERRUPT in"
"3583","108.500229","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3584","108.500315","host","1.2.1","USB","27","URB_INTERRUPT in"
"3585","108.732055","remote ()","localhost ()","L2CAP","48","Rcvd Connection oriented channel"
"3586","108.732208","host","1.2.2","USB","27","URB_BULK in"
"3587","108.732391","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3588","108.732495","localhost ()","remote ()","L2CAP","1051","Sent Connection oriented channel"
"3589","108.732582","localhost ()","remote ()","L2CAP","380","Sent Connection oriented channel"
"3590","108.733450","1.2.2","host","USB","27","URB_BULK out"
"3591","108.734566","1.2.2","host","USB","27","URB_BULK out"
"3592","108.735061","1.2.2","host","USB","27","URB_BULK out"
"3593","108.824158","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3594","108.824255","host","1.2.1","USB","27","URB_INTERRUPT in"
"3595","108.827956","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3596","108.828046","host","1.2.1","USB","27","URB_INTERRUPT in"
"3597","108.831144","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3598","108.831241","host","1.2.1","USB","27","URB_INTERRUPT in"
"3599","108.858203","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3600","108.858310","host","1.2.1","USB","27","URB_INTERRUPT in"
"3601","109.032230","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3602","109.032337","host","1.2.1","USB","27","URB_INTERRUPT in"
"3603","109.217911","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3604","109.218033","host","1.2.1","USB","27","URB_INTERRUPT in"
"3605","109.414347","remote ()","localhost ()","L2CAP","51","Rcvd Connection oriented channel"
"3606","109.414508","host","1.2.2","USB","27","URB_BULK in"
"3607","109.416125","localhost ()","remote ()","L2CAP","43","Sent Connection oriented channel"
"3608","109.416236","1.2.2","host","USB","27","URB_BULK out"
"3609","109.516181","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3610","109.516280","host","1.2.1","USB","27","URB_INTERRUPT in"
"3611","109.570167","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3612","109.570268","host","1.2.1","USB","27","URB_INTERRUPT in"
"3613","109.629605","remote ()","localhost ()","L2CAP","48","Rcvd Connection oriented channel"
"3614","109.629760","host","1.2.2","USB","27","URB_BULK in"
"3615","109.629885","localhost ()","remote ()","L2CAP","39","Sent Connection oriented channel"
"3616","109.630030","1.2.2","host","USB","27","URB_BULK out"
"3617","109.632965","controller","host","HCI_EVT","34","Rcvd Number of Completed Packets"
"3618","109.633034","host","1.2.1","USB","27","URB_INTERRUPT in"
"3619","109.717099","remote ()","localhost ()","L2CAP","39","Rcvd Connection oriented channel"
"3620","109.717379","host","1.2.2","USB","27","URB_BULK in"
"3621","109.896194","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3622","109.896295","host","1.2.1","USB","27","URB_INTERRUPT in"
"3623","109.934929","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3624","109.935032","host","1.2.1","USB","27","URB_INTERRUPT in"
"3625","110.206779","host","controller","HCI_CMD","43","Sent Write Link Policy Settings"
"3626","110.207065","1.2.0","host","HCI_USB","28","Rcvd"
"3627","110.209109","controller","host","HCI_EVT","35","Rcvd Command Complete (Write Link Policy Settings)"
"3628","110.209199","host","1.2.1","USB","27","URB_INTERRUPT in"
"3629","110.251931","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3630","110.252048","host","1.2.1","USB","27","URB_INTERRUPT in"
"3631","110.386915","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3632","110.387006","host","1.2.1","USB","27","URB_INTERRUPT in"
"3633","110.655129","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3634","110.655227","host","1.2.1","USB","27","URB_INTERRUPT in"
"3635","110.796157","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3636","110.796254","host","1.2.1","USB","27","URB_INTERRUPT in"
"3637","110.832945","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"3638","110.833156","host","1.2.1","USB","27","URB_INTERRUPT in"
